character_slug,sort_order,race_slug,requirement,turn
special-week-special-dreamer,1,junior_make_debut,Participate in,12
special-week-special-dreamer,2,kisaragi_sho,Place 5th or better in,27
special-week-special-dreamer,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
special-week-special-dreamer,4,kikuka_sho,Place 3rd or better in,44
special-week-special-dreamer,5,tenno_sho_spring,Place 3rd or better in,56
special-week-special-dreamer,6,japan_cup,Place 2nd or better in,70
special-week-special-dreamer,7,arima_kinen,Place 1st in,72
special-week-hopping-vitamin-heart,1,junior_make_debut,Participate in,12
special-week-hopping-vitamin-heart,2,kisaragi_sho,Place 5th or better in,27
special-week-hopping-vitamin-heart,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
special-week-hopping-vitamin-heart,4,kikuka_sho,Place 3rd or better in,44
special-week-hopping-vitamin-heart,5,tenno_sho_spring,Place 3rd or better in,56
special-week-hopping-vitamin-heart,6,japan_cup,Place 2nd or better in,70
special-week-hopping-vitamin-heart,7,arima_kinen,Place 1st in,72
silence-suzuka-silent-innocence,1,junior_make_debut,Participate in,12
silence-suzuka-silent-innocence,2,,Have at least 5000 fans,27
silence-suzuka-silent-innocence,3,yayoi_sho,Place 5th or better in,29
silence-suzuka-silent-innocence,4,kobe_shimbun_hai,Place 3rd or better in,42
silence-suzuka-silent-innocence,5,kinko_sho,Place 1st in,53
silence-suzuka-silent-innocence,6,takarazuka_kinen,Place 3rd or better in,60
silence-suzuka-silent-innocence,7,mainichi_okan,Place 1st in,67
silence-suzuka-silent-innocence,8,tenno_sho_autumn,Place 1st in,68
tokai-teio-top-of-joyful,1,junior_make_debut,Participate in,12
tokai-teio-top-of-joyful,2,wakagoma_stakes,Place 3rd or better in,26
tokai-teio-top-of-joyful,3,satsuki_sho,Place 5th or better in,31
tokai-teio-top-of-joyful,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
tokai-teio-top-of-joyful,5,kikuka_sho,Place 3rd or better in,44
tokai-teio-top-of-joyful,6,tenno_sho_spring,Place 3rd or better in,56
tokai-teio-top-of-joyful,7,japan_cup,Place 2nd or better in,70
tokai-teio-top-of-joyful,8,arima_kinen,Place 1st in,72
tokai-teio-beyond-the-horizon,1,junior_make_debut,Participate in,12
tokai-teio-beyond-the-horizon,2,wakagoma_stakes,Place 3rd or better in,26
tokai-teio-beyond-the-horizon,3,satsuki_sho,Place 5th or better in,31
tokai-teio-beyond-the-horizon,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
tokai-teio-beyond-the-horizon,5,kikuka_sho,Place 3rd or better in,44
tokai-teio-beyond-the-horizon,6,tenno_sho_spring,Place 3rd or better in,56
tokai-teio-beyond-the-horizon,7,japan_cup,Place 2nd or better in,70
tokai-teio-beyond-the-horizon,8,arima_kinen,Place 1st in,72
maruzensky-rouge-formula,1,junior_make_debut,Participate in,12
maruzensky-rouge-formula,2,asahi_hai_futurity_stakes,Place 5th or better in,23
maruzensky-rouge-formula,3,spring_stakes,Place 3rd or better in,30
maruzensky-rouge-formula,4,satsuki_sho,Place 5th or better in,31
maruzensky-rouge-formula,5,tokyo_yushun_japanese_derby,Place 5th or better in,34
maruzensky-rouge-formula,6,arima_kinen,Participate in,48
maruzensky-rouge-formula,7,osaka_hai,Place 1st in,54
maruzensky-rouge-formula,8,yasuda_kinen,Place 1st in,59
maruzensky-rouge-formula,9,tenno_sho_autumn,Place 1st in,68
maruzensky-blasting-off-summer-night,1,junior_make_debut,Participate in,12
maruzensky-blasting-off-summer-night,2,asahi_hai_futurity_stakes,Place 5th or better in,23
maruzensky-blasting-off-summer-night,3,spring_stakes,Place 3rd or better in,30
maruzensky-blasting-off-summer-night,4,satsuki_sho,Place 5th or better in,31
maruzensky-blasting-off-summer-night,5,tokyo_yushun_japanese_derby,Place 5th or better in,34
maruzensky-blasting-off-summer-night,6,arima_kinen,Participate in,48
maruzensky-blasting-off-summer-night,7,osaka_hai,Place 1st in,54
maruzensky-blasting-off-summer-night,8,yasuda_kinen,Place 1st in,59
maruzensky-blasting-off-summer-night,9,tenno_sho_autumn,Place 1st in,68
fuji-kiseki-shooting-star-revue,1,junior_make_debut,Participate in,12
fuji-kiseki-shooting-star-revue,2,asahi_hai_futurity_stakes,Place 5th or better in,23
fuji-kiseki-shooting-star-revue,3,yayoi_sho,Place 5th or better in,29
fuji-kiseki-shooting-star-revue,4,satsuki_sho,Place 5th or better in,31
fuji-kiseki-shooting-star-revue,5,nhk_mile_cup,Place 5th or better in,33
fuji-kiseki-shooting-star-revue,6,kikuka_sho,Participate in,44
fuji-kiseki-shooting-star-revue,7,takamatsunomiya_kinen,Place 3rd or better in,54
fuji-kiseki-shooting-star-revue,8,yasuda_kinen,Place 3rd or better in,59
fuji-kiseki-shooting-star-revue,9,tenno_sho_autumn,Place 1st in,68
fuji-kiseki-shooting-star-revue,10,arima_kinen,Participate in,72
oguri-cap-starlight-beat,1,junior_make_debut,Participate in,12
oguri-cap-starlight-beat,2,,Have at least 3000 fans,24
oguri-cap-starlight-beat,3,nhk_mile_cup,Place 5th or better in,33
oguri-cap-starlight-beat,4,mile_championship,Place 3rd or better in,46
oguri-cap-starlight-beat,5,arima_kinen,Place 3rd or better in,48
oguri-cap-starlight-beat,6,,Place 3rd or better in 2 G1 races,60
oguri-cap-starlight-beat,7,tenno_sho_autumn,Place 1st in,68
oguri-cap-starlight-beat,8,arima_kinen,Place 1st in,72
gold-ship-red-strife,1,junior_make_debut,Participate in,12
gold-ship-red-strife,2,hopeful_stakes,Place 5th or better in,24
gold-ship-red-strife,3,satsuki_sho,Place 5th or better in,31
gold-ship-red-strife,4,kikuka_sho,Place 3rd or better in,44
gold-ship-red-strife,5,arima_kinen,Place 3rd or better in,48
gold-ship-red-strife,6,tenno_sho_spring,Place 3rd or better in,56
gold-ship-red-strife,7,takarazuka_kinen,Place 1st in,60
gold-ship-red-strife,8,tenno_sho_autumn,Place 1st in,68
gold-ship-red-strife,9,arima_kinen,Place 1st in,72
vodka-wild-top-gear,1,junior_make_debut,Participate in,12
vodka-wild-top-gear,2,hanshin_juvenile_fillies,Place 5th or better in,23
vodka-wild-top-gear,3,tulip_sho,Place 5th or better in,29
vodka-wild-top-gear,4,oka_sho,Place 5th or better in,31
vodka-wild-top-gear,5,tokyo_yushun_japanese_derby,Place 5th or better in,34
vodka-wild-top-gear,6,shuuka_sho,Place 3rd or better in,44
vodka-wild-top-gear,7,arima_kinen,Participate in,48
vodka-wild-top-gear,8,victoria_mile,Place 3rd or better in,57
vodka-wild-top-gear,9,yasuda_kinen,Place 2nd or better in,59
vodka-wild-top-gear,10,tenno_sho_autumn,Place 1st in,68
daiwa-scarlet-top-of-blue,1,junior_make_debut,Participate in,12
daiwa-scarlet-top-of-blue,2,tulip_sho,Place 5th or better in,29
daiwa-scarlet-top-of-blue,3,oka_sho,Place 5th or better in,31
daiwa-scarlet-top-of-blue,4,oaks,Place 5th or better in,34
daiwa-scarlet-top-of-blue,5,shuuka_sho,Place 3rd or better in,44
daiwa-scarlet-top-of-blue,6,queen_elizabeth_cup,Place 3rd or better in,45
daiwa-scarlet-top-of-blue,7,osaka_hai,Place 3rd or better in,54
daiwa-scarlet-top-of-blue,8,tenno_sho_autumn,Place 1st in,68
daiwa-scarlet-top-of-blue,9,arima_kinen,Place 1st in,72
taiki-shuttle-wild-frontier,1,junior_make_debut,Participate in,12
taiki-shuttle-wild-frontier,2,shinzan_kinen,Place 5th or better in,25
taiki-shuttle-wild-frontier,3,nhk_mile_cup,Place 5th or better in,33
taiki-shuttle-wild-frontier,4,unicorn_stakes,Place 5th or better in,36
taiki-shuttle-wild-frontier,5,mile_championship,Place 3rd or better in,46
taiki-shuttle-wild-frontier,6,yasuda_kinen,Place 1st in,59
taiki-shuttle-wild-frontier,7,sprinters_stakes,Place 1st in,66
taiki-shuttle-wild-frontier,8,mile_championship,Place 1st in,70
grass-wonder-rock-piercing-blue,1,junior_make_debut,Participate in,12
grass-wonder-rock-piercing-blue,2,asahi_hai_futurity_stakes,Place 5th or better in,23
grass-wonder-rock-piercing-blue,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
grass-wonder-rock-piercing-blue,4,japan_cup,Place 5th or better in,46
grass-wonder-rock-piercing-blue,5,arima_kinen,Place 3rd or better in,48
grass-wonder-rock-piercing-blue,6,takarazuka_kinen,Place 3rd or better in,60
grass-wonder-rock-piercing-blue,7,mainichi_okan,Place 1st in,67
grass-wonder-rock-piercing-blue,8,arima_kinen,Place 1st in,72
grass-wonder-saint-jade-healer,1,junior_make_debut,Participate in,12
grass-wonder-saint-jade-healer,2,asahi_hai_futurity_stakes,Place 5th or better in,23
grass-wonder-saint-jade-healer,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
grass-wonder-saint-jade-healer,4,japan_cup,Place 5th or better in,46
grass-wonder-saint-jade-healer,5,arima_kinen,Place 3rd or better in,48
grass-wonder-saint-jade-healer,6,takarazuka_kinen,Place 3rd or better in,60
grass-wonder-saint-jade-healer,7,mainichi_okan,Place 1st in,67
grass-wonder-saint-jade-healer,8,arima_kinen,Place 1st in,72
hishi-amazon-amazoness-lapis,1,junior_make_debut,Participate in,12
hishi-amazon-amazoness-lapis,2,hanshin_juvenile_fillies,Place 5th or better in,23
hishi-amazon-amazoness-lapis,3,oka_sho,Place 5th or better in,31
hishi-amazon-amazoness-lapis,4,oaks,Place 5th or better in,34
hishi-amazon-amazoness-lapis,5,shuuka_sho,Place 3rd or better in,44
hishi-amazon-amazoness-lapis,6,arima_kinen,Place 3rd or better in,48
hishi-amazon-amazoness-lapis,7,osaka_hai,Place 1st in,54
hishi-amazon-amazoness-lapis,8,yasuda_kinen,Place 1st in,59
hishi-amazon-amazoness-lapis,9,japan_cup,Place 1st in,70
hishi-amazon-amazoness-lapis,10,arima_kinen,Place 1st in,72
mejiro-mcqueen-elegance-line,1,junior_make_debut,Participate in,12
mejiro-mcqueen-elegance-line,2,,Have at least 3000 fans,24
mejiro-mcqueen-elegance-line,3,kobe_shimbun_hai,Place 3rd or better in,42
mejiro-mcqueen-elegance-line,4,kikuka_sho,Place 3rd or better in,44
mejiro-mcqueen-elegance-line,5,tenno_sho_spring,Place 1st in,56
mejiro-mcqueen-elegance-line,6,takarazuka_kinen,Place 2nd or better in,60
mejiro-mcqueen-elegance-line,7,tenno_sho_autumn,Place 1st in,68
mejiro-mcqueen-end-of-sky,1,junior_make_debut,Participate in,12
mejiro-mcqueen-end-of-sky,2,,Have at least 3000 fans,24
mejiro-mcqueen-end-of-sky,3,kobe_shimbun_hai,Place 3rd or better in,42
mejiro-mcqueen-end-of-sky,4,kikuka_sho,Place 3rd or better in,44
mejiro-mcqueen-end-of-sky,5,tenno_sho_spring,Place 1st in,56
mejiro-mcqueen-end-of-sky,6,takarazuka_kinen,Place 2nd or better in,60
