id,slug,name,version,japanese_name,voice_actor,release_date,birthday,height_cm,three_sizes,rarity,image,base_speed_1,base_stamina_1,base_power_1,base_guts_1,base_wit_1,base_speed_5,base_stamina_5,base_power_5,base_guts_5,base_wit_5,bonus_speed,bonus_stamina,bonus_power,bonus_guts,bonus_wit,turf,dirt,short,mile,medium,long,front,pace,late,end,description,unique_skill_ids,innate_skill_ids,event_skill_ids,awakening_lvl2_skill_id,awakening_lvl2_highlight,awakening_lvl2_items,awakening_lvl3_skill_id,awakening_lvl3_highlight,awakening_lvl3_items,awakening_lvl4_skill_id,awakening_lvl4_highlight,awakening_lvl4_items,awakening_lvl5_skill_id,awakening_lvl5_highlight,awakening_lvl5_items,card_id,char_id,gametora_url_name
1,special-week-special-dreamer,Special Week,Special Dreamer,スペシャルウィーク,Azumi Waki,2025-06-26,May 2,158 cm,81 - 56 - 81,3,special-week-special-dreamer.png,83,88,98,90,91,102,108,120,110,110,0,20,0,0,10,A,G,F,C,A,A,G,A,A,C,Special Week — Special Dreamer.,shooting_star,homestretch_haste|hydrate|steadfast,pace_strategy|homestretch_haste|corner_adept_o|tokyo_racecourse_o|nakayama_racecourse_o|stamina_to_spare|slick_surge,wet_conditions_o,no,long_racing_shoes,gourmand,yes,long_racing_shoes|japanese_derby_winner_s_sash|japan_cup_winner_s_sash,outer_swell,no,long_racing_shoes|tenno_sho_spring_winner_s_sash|japanese_derby_winner_s_sash|kikuka_sho_winner_s_sash|japan_cup_winner_s_sash|dream_glimmer,in_body_and_mind,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|japanese_derby_winner_s_sash|kikuka_sho_winner_s_sash|japan_cup_winner_s_sash|dream_glimmer,100101,1001,100101-special-week
2,special-week-hopping-vitamin-heart,Special Week,Hopping ♪ Vitamin Heart,スペシャルウィーク,Azumi Waki,2025-10-14,May 2,158 cm,81 - 56 - 81,3,special-week-hopping-vitamin-heart.png,77,90,103,98,82,94,110,125,119,102,0,10,10,10,0,A,G,F,C,A,A,G,A,A,C,Special Week — Hopping ♪ Vitamin Heart.,dazzl_n_diver,ramp_up|position_pilfer|thunderbolt_step,pace_strategy|homestretch_haste|corner_adept_o|tokyo_racecourse_o|nakayama_racecourse_o|fighter|stamina_to_spare|slick_surge,sunny_days_o,no,long_racing_shoes,fast_furious,yes,long_racing_shoes|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash,tail_held_high,no,long_racing_shoes|tenno_sho_spring_winner_s_sash|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,it_s_on,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,100102,1001,100102-special-week
3,silence-suzuka-silent-innocence,Silence Suzuka,Silent Innocence,サイレンススズカ,Marika Kouno,2025-06-26,May 1,161 cm,70 - 53 - 79,3,silence-suzuka-silent-innocence.png,101,84,77,100,88,124,102,94,122,108,20,0,0,10,0,A,G,D,A,A,E,A,C,E,G,Silence Suzuka — Silent Innocence.,the_view_from_the_lead_is_mine,focus|final_push|rosy_outlook,left_handed_o|runaway|early_lead,left_handed_o,no,medium_racing_shoes,concentration,yes,medium_racing_shoes|takarazuka_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash,fast_paced,no,medium_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,unrestrained,yes,medium_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|takarazuka_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,100201,1002,100201-silence-suzuka
4,tokai-teio-top-of-joyful,Tokai Teio,Top of Joyful,トウカイテイオー,Machico,2025-06-26,April 20,150 cm,77 - 54 - 76,3,tokai-teio-top-of-joyful.png,90,89,83,92,96,109,109,102,112,118,20,10,0,0,0,A,G,F,E,A,B,D,A,C,E,Tokai Teio — Top of Joyful.,sky_high_teio_step,prudent_positioning|thunderbolt_step|shrewd_step,prepared_to_pass|hydrate|head_on,go_with_the_flow,no,medium_racing_shoes,technician,yes,medium_racing_shoes|japanese_derby_winner_s_sash|arima_kinen_winner_s_sash,soft_step,no,medium_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|japan_cup_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,lightning_step,yes,medium_racing_shoes|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|japan_cup_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,100301,1003,100301-tokai-teio
5,tokai-teio-beyond-the-horizon,Tokai Teio,Beyond the Horizon,トウカイテイオー,Machico,2025-07-16,April 20,150 cm,77 - 54 - 76,3,tokai-teio-beyond-the-horizon.png,89,102,80,86,93,109,125,98,106,112,10,10,0,10,0,A,G,F,E,A,B,D,A,C,E,Tokai Teio — Beyond the Horizon.,certain_victory,prudent_positioning|soft_step|preferred_position,prepared_to_pass|hydrate|stamina_to_spare|corner_acceleration_o|head_on,spring_runner_o,no,medium_racing_shoes,race_planner,yes,medium_racing_shoes|japanese_derby_winner_s_sash|arima_kinen_winner_s_sash,corner_recovery_o,no,medium_racing_shoes|japanese_derby_winner_s_sash|arima_kinen_winner_s_sash|japan_cup_winner_s_sash|tenno_sho_spring_winner_s_sash|dream_glimmer,miraculous_step,yes,medium_racing_shoes|japanese_derby_winner_s_sash|arima_kinen_winner_s_sash|japan_cup_winner_s_sash|tenno_sho_spring_winner_s_sash|dream_glimmer,100302,1003,100302-tokai-teio
6,maruzensky-rouge-formula,Maruzensky,Rouge Formula,マルゼンスキー,Lynn,2025-06-26,May 19,164 cm,92 - 58 - 88,3,maruzensky-rouge-formula.png,96,68,86,100,100,118,84,105,122,121,10,0,0,0,20,A,D,B,A,B,C,A,E,G,G,Maruzensky — Rouge Formula.,red_shift_lp1211_m,straightaway_adept|shifting_gears|early_lead,huge_lead|deep_breaths,acceleration,no,mile_racing_shoes,changing_gears,yes,mile_racing_shoes|yasuda_kinen_winner_s_sash|asahi_hai_f_s_winner_s_sash,focus,no,mile_racing_shoes|osaka_hai_winner_s_sash|yasuda_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|asahi_hai_f_s_winner_s_sash|dream_glimmer,step_on_the_gas,yes,mile_racing_shoes|osaka_hai_winner_s_sash|yasuda_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|asahi_hai_f_s_winner_s_sash|dream_glimmer,100401,1004,100401-maruzensky
7,maruzensky-blasting-off-summer-night,Maruzensky,Blasting Off ☆ Summer Night,マルゼンスキー,Lynn,2025-10-14,May 19,164 cm,92 - 58 - 88,3,maruzensky-blasting-off-summer-night.png,100,69,93,87,101,122,85,114,107,122,15,0,0,0,15,A,D,B,A,B,C,A,E,G,G,Maruzensky — Blasting Off ☆ Summer Night.,a_kiss_for_courage,corner_recovery_o|productive_plan|moxie,huge_lead|deep_breaths|fast_paced,triple_7s,no,mile_racing_shoes,restless,yes,mile_racing_shoes|japanese_derby_winner_s_sash|yasuda_kinen_winner_s_sash,speed_eater,no,mile_racing_shoes|osaka_hai_winner_s_sash|japanese_derby_winner_s_sash|yasuda_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,mile_maven,yes,mile_racing_shoes|osaka_hai_winner_s_sash|japanese_derby_winner_s_sash|yasuda_kinen_winner_s_sash|tenno_sho_autumn_winner_s_sash|dream_glimmer,100402,1004,100402-maruzensky
8,fuji-kiseki-shooting-star-revue,Fuji Kiseki,Shooting Star Revue,フジキセキ,Eriko Matsui,2025-10-02,April 15,168 cm,84 - 58 - 82,3,fuji-kiseki-shooting-star-revue.png,96,88,97,82,87,117,107,118,100,108,0,0,20,0,10,A,F,B,A,B,E,C,A,C,G,Fuji Kiseki — Shooting Star Revue.,lights_of_vaudeville,trick_front|unyielding_spirit|preferred_position,disorient|prepared_to_pass|unyielding_spirit|preferred_position,shifting_gears,no,mile_racing_shoes,big_sisterly,yes,mile_racing_shoes|satsuki_sho_winner_s_sash|asahi_hai_f_s_winner_s_sash,mile_corners_o,no,mile_racing_shoes|takamatsunomiya_kinen_winner_s_sash|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|asahi_hai_f_s_winner_s_sash|dream_glimmer,race_planner,yes,mile_racing_shoes|takamatsunomiya_kinen_winner_s_sash|satsuki_sho_winner_s_sash|japanese_derby_winner_s_sash|asahi_hai_f_s_winner_s_sash|dream_glimmer,100501,1005,100501-fuji-kiseki
9,oguri-cap-starlight-beat,Oguri Cap,Starlight Beat,オグリキャップ,Tomoyo Takayanagi,2025-06-26,March 27,167 cm,82 - 57 - 82,3,oguri-cap-starlight-beat.png,101,66,106,84,93,124,81,130,103,112,20,0,10,0,0,A,B,E,A,A,B,F,A,A,D,Oguri Cap — Starlight Beat.,triumphant_pulse,corner_acceleration_o|acceleration|hydrate,nakayama_racecourse_o|hydrate,cloudy_days_o,no,mile_racing_shoes,gourmand,yes,mile_racing_shoes|mile_ch_winner_s_sash|arima_kinen_winner_s_sash,nimble_navigator,no,mile_racing_shoes|nhk_mile_c_winner_s_sash|mile_ch_winner_s_sash|tenno_sho_autumn_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,corner_connoisseur,yes,mile_racing_shoes|nhk_mile_c_winner_s_sash|mile_ch_winner_s_sash|tenno_sho_autumn_winner_s_sash|arima_kinen_winner_s_sash|dream_glimmer,100601,1006,100601-oguri-cap
10,gold-ship-red-strife,Gold Ship,Red Strife,ゴールドシップ,Hitomi Ueda,2025-06-26,March 6,170 cm,88 - 55 - 88,2,gold-ship-red-strife.png,82,96,100,77,70,106,124,129,99,92,0,20,10,0,0,A,G,G,C,A,A,G,B,B,A,Gold Ship — Red Strife.,warning_shot|anchors_aweigh,uma_stan|pressure|i_can_see_right_through_you,hanshin_racecourse_o|non_standard_distance_o|gatekept,after_school_stroll,no,long_racing_shoes,the_coast_is_clear,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash,standing_by,no,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash|kikuka_sho_winner_s_sash|hopeful_s_winner_s_sash|dream_glimmer,go_home_specialist,yes,long_racing_shoes|tenno_sho_spring_winner_s_sash|takarazuka_kinen_winner_s_sash|kikuka_sho_winner_s_sash|hopeful_s_winner_s_sash|dream_glimmer,100701,1007,100701-gold-ship
