banner_id,name,detail,rate_pct,status,link_type,link_slug,sort_order,card_id
30002,Special Week,Special Dreamer,0.3334,New,character,special-week,1,100101
30002,Silence Suzuka,Innocent Silence,0.3334,New,character,silence-suzuka,2,100201
30002,Tokai Teio,Peak Joy,0.3334,New,character,tokai-teio,3,100301
30002,Maruzensky,Formula R,0.3333,New,character,maruzensky,4,100401
30002,Oguri Cap,Starlight Beat,0.3333,New,character,oguri-cap,5,100601
30002,Taiki Shuttle,Wild Frontier,0.3333,New,character,taiki-shuttle,6,101001
30002,Mejiro McQueen,Frontline Elegance,0.3333,New,character,mejiro-mcqueen,7,101301
30002,Symboli Rudolf,Emperor's Path,0.3333,New,character,symboli-rudolf,8,101701
30002,Rice Shower,Rosy Dreams,0.3333,New,character,rice-shower,9,103001
30004,TM Opera O,O Sole Suo!,0.75,New,character,tm-opera-o,1,101501
30006,Mihono Bourbon,MB-19890425,0.75,New,character,mihono-bourbon,1,102601
30008,Biwa Hayahide,pf. Winning Equation...,0.75,New,character,biwa-hayahide,1,102301
30130,Special Week,Special Dreamer,0.3334,Rerun,character,special-week,1,100101
30130,Silence Suzuka,Innocent Silence,0.3334,Rerun,character,silence-suzuka,2,100201
30130,Tokai Teio,Peak Joy,0.3334,Rerun,character,tokai-teio,3,100301
30130,Maruzensky,Formula R,0.3333,Rerun,character,maruzensky,4,100401
30130,Oguri Cap,Starlight Beat,0.3333,Rerun,character,oguri-cap,5,100601
30130,Taiki Shuttle,Wild Frontier,0.3333,Rerun,character,taiki-shuttle,6,101001
30130,Mejiro McQueen,Frontline Elegance,0.3333,Rerun,character,mejiro-mcqueen,7,101301
30130,Symboli Rudolf,Emperor's Path,0.3333,Rerun,character,symboli-rudolf,8,101701
30130,Rice Shower,Rosy Dreams,0.3333,Rerun,character,rice-shower,9,103001
30010,Tokai Teio,Beyond the Horizon,0.5,New,character,tokai-teio,1,100302
30010,Mejiro McQueen,End of the Skies,0.5,New,character,mejiro-mcqueen,2,101302
30012,Curren Chan,Fille Éclair,0.75,New,character,curren-chan,1,103801
30014,Narita Taishin,Nevertheless,0.75,New,character,narita-taishin,1,105001
30016,Smart Falcon,LOVE☆4EVER,0.75,New,character,smart-falcon,1,104601
30018,Narita Brian,Maverick,0.75,New,character,narita-brian,1,101601
30020,Mayano Top Gun,Sunlight Bouquet,0.75,New,character,mayano-top-gun,1,102402
30020,Air Groove,Quercus Civilis,0.75,New,character,air-groove,2,101802
30022,Seiun Sky,Reeling in the Big One,0.75,New,character,seiun-sky,1,102001
30024,Hishi Amazon,Azure Amazon,0.75,New,character,hishi-amazon,1,101201
30026,El Condor Pasa,Kukulkan Warrior,0.75,New,character,el-condor-pasa,1,101402
30026,Grass Wonder,Saintly Jade Cleric,0.75,New,character,grass-wonder,2,101102
30028,Fuji Kiseki,Shooting Star Revue,0.75,New,character,fuji-kiseki,1,100501
30030,Gold City,Authentic / 1928,0.75,New,character,gold-city,1,104001
30032,Special Week,Hopp'n♪Happy Heart,0.75,New,character,special-week,1,100102
30032,Maruzensky,Hot☆Summer Night,0.75,New,character,maruzensky,2,100402
30034,Meisho Doto,Turbulent Blue,0.75,New,character,meisho-doto,1,105801
30036,Eishin Flash,Meisterschaft,0.75,New,character,eishin-flash,1,103701
30038,Matikanefukukitaru,Lucky Tidings,0.75,New,character,matikanefukukitaru,1,105602
30040,Hishi Akebono,Buono ☆ Alla Moda,0.75,New,character,hishi-akebono,1,102801
30042,Agnes Digital,Full-Color Fangirling,0.75,New,character,agnes-digital,1,101901
30044,Rice Shower,Vampire Makeover!,0.75,New,character,rice-shower,1,103002
30044,Super Creek,Chiffon-Wrapped Mummy,0.75,New,character,super-creek,2,104502
30046,Kawakami Princess,Princess of Pink,0.75,New,character,kawakami-princess,1,103901
30048,Manhattan Cafe,Creeping Shadow,0.75,New,character,manhattan-cafe,1,102501
30050,Symboli Rudolf,Archer by Moonlight,0.75,New,character,symboli-rudolf,1,101702
30050,Gold City,Autumn Cosmos,0.75,New,character,gold-city,2,104002
30052,Tosen Jordan,Jokester ☆ Vibes,0.75,New,character,tosen-jordan,1,104801
30054,Mejiro Dober,Off the Line,0.75,New,character,mejiro-dober,1,105901
30056,Oguri Cap,Ashen Miracle,0.75,New,character,oguri-cap,1,100602
30056,Biwa Hayahide,Rouge Caroler,0.75,New,character,biwa-hayahide,2,102302
30058,Fine Motion,Noble Seamair,0.75,New,character,fine-motion,1,102201
30060,Tamamo Cross,Fast as Lightning,0.75,New,character,tamamo-cross,1,102101
30062,Haru Urara,New Year ♪ New Urara!,0.75,New,character,haru-urara,1,105202
