race_slug,position,position_name,fans
aichi_hai,1,1st place,3600
aichi_hai,2,2nd place,1440
aichi_hai,3,3rd place,900
aichi_hai,4,4th place,540
aichi_hai,5,5th place,360
aichi_hai,6,6th place,324
aichi_hai,7,7th place,288
aichi_hai,8,8th place,252
aichi_hai,9,9th place,216
aichi_hai,10,10th place,180
aichi_hai,11,11th place,144
aichi_hai,12,12th place,108
aichi_hai,13,13th place,90
aichi_hai,14,14th place,72
aichi_hai,15,15th place,54
aichi_hai,16,16th place,36
aichi_hai,17,17th place,36
aichi_hai,18,18th place,36
akamatsu_sho,1,1st place,1000
akamatsu_sho,2,2nd place,400
akamatsu_sho,3,3rd place,250
akamatsu_sho,4,4th place,150
akamatsu_sho,5,5th place,100
akamatsu_sho,6,6th place,90
akamatsu_sho,7,7th place,80
akamatsu_sho,8,8th place,70
akamatsu_sho,9,9th place,60
akamatsu_sho,10,10th place,50
akamatsu_sho,11,11th place,40
akamatsu_sho,12,12th place,30
akamatsu_sho,13,13th place,25
akamatsu_sho,14,14th place,20
akamatsu_sho,15,15th place,15
akamatsu_sho,16,16th place,7
akamatsu_sho,17,17th place,7
akamatsu_sho,18,18th place,7
akhalteke_stakes,1,1st place,2200
akhalteke_stakes,2,2nd place,880
akhalteke_stakes,3,3rd place,550
akhalteke_stakes,4,4th place,330
akhalteke_stakes,5,5th place,220
akhalteke_stakes,6,6th place,198
akhalteke_stakes,7,7th place,176
akhalteke_stakes,8,8th place,154
akhalteke_stakes,9,9th place,132
akhalteke_stakes,10,10th place,110
akhalteke_stakes,11,11th place,88
akhalteke_stakes,12,12th place,66
akhalteke_stakes,13,13th place,55
akhalteke_stakes,14,14th place,44
akhalteke_stakes,15,15th place,33
akhalteke_stakes,16,16th place,22
aldebaran_stakes,1,1st place,2200
aldebaran_stakes,2,2nd place,880
aldebaran_stakes,3,3rd place,550
aldebaran_stakes,4,4th place,330
aldebaran_stakes,5,5th place,220
aldebaran_stakes,6,6th place,198
aldebaran_stakes,7,7th place,176
aldebaran_stakes,8,8th place,154
aldebaran_stakes,9,9th place,132
aldebaran_stakes,10,10th place,110
aldebaran_stakes,11,11th place,88
aldebaran_stakes,12,12th place,66
aldebaran_stakes,13,13th place,55
aldebaran_stakes,14,14th place,44
aldebaran_stakes,15,15th place,33
aldebaran_stakes,16,16th place,22
all_comers,1,1st place,6700
all_comers,2,2nd place,2680
all_comers,3,3rd place,1675
all_comers,4,4th place,1005
all_comers,5,5th place,670
all_comers,6,6th place,603
all_comers,7,7th place,536
all_comers,8,8th place,469
all_comers,9,9th place,402
all_comers,10,10th place,335
all_comers,11,11th place,268
all_comers,12,12th place,201
all_comers,13,13th place,168
all_comers,14,14th place,134
all_comers,15,15th place,101
all_comers,16,16th place,67
all_comers,17,17th place,67
all_comers,18,18th place,67
american_jcc,1,1st place,6200
american_jcc,2,2nd place,2480
american_jcc,3,3rd place,1550
american_jcc,4,4th place,930
american_jcc,5,5th place,620
american_jcc,6,6th place,558
american_jcc,7,7th place,496
american_jcc,8,8th place,434
american_jcc,9,9th place,372
american_jcc,10,10th place,310
american_jcc,11,11th place,248
american_jcc,12,12th place,186
american_jcc,13,13th place,155
american_jcc,14,14th place,124
american_jcc,15,15th place,93
american_jcc,16,16th place,62
american_jcc,17,17th place,62
american_jcc,18,18th place,62
