race_slug,item_id,quantity,drop_rate,sort_order
chukyo_junior_stakes,monies,200,100%,1
chukyo_junior_stakes,support_points,20,5%,2
hakodate_junior_stakes,sprint_racing_shoes,1,100%,1
hakodate_junior_stakes,carats,5,5%,2
hakodate_junior_stakes,monies,400-2400,100%,3
hakodate_junior_stakes,support_points,20-120,84%,4
hakodate_junior_stakes,goddess_statue,1,1%,5
cosmos_sho,monies,200,100%,1
cosmos_sho,support_points,20,5%,2
dahlia_sho,monies,200,100%,1
dahlia_sho,support_points,20,5%,2
phoenix_sho,monies,200,100%,1
phoenix_sho,support_points,20,5%,2
clover_sho,monies,200,100%,1
clover_sho,support_points,20,5%,2
niigata_junior_stakes,mile_racing_shoes,1,100%,1
niigata_junior_stakes,carats,5,5%,2
niigata_junior_stakes,monies,400-2400,100%,3
niigata_junior_stakes,support_points,20-120,84%,4
niigata_junior_stakes,goddess_statue,1,1%,5
aster_sho,monies,200,100%,1
aster_sho,support_points,20,5%,2
kokura_junior_stakes,sprint_racing_shoes,1,100%,1
kokura_junior_stakes,carats,5,5%,2
kokura_junior_stakes,monies,400-2400,100%,3
kokura_junior_stakes,support_points,20-120,84%,4
kokura_junior_stakes,goddess_statue,1,1%,5
nojigiku_stakes,monies,200,100%,1
nojigiku_stakes,support_points,20,5%,2
sapporo_junior_stakes,mile_racing_shoes,1,100%,1
sapporo_junior_stakes,carats,5,5%,2
sapporo_junior_stakes,monies,400-2400,100%,3
sapporo_junior_stakes,support_points,20-120,84%,4
sapporo_junior_stakes,goddess_statue,1,1%,5
suzuran_sho,monies,200,100%,1
suzuran_sho,support_points,20,5%,2
canna_stakes,monies,200,100%,1
canna_stakes,support_points,20,5%,2
fuyo_stakes,monies,200,100%,1
fuyo_stakes,support_points,20,5%,2
kikyo_stakes,monies,200,100%,1
kikyo_stakes,support_points,20,5%,2
saffron_sho,monies,200,100%,1
saffron_sho,support_points,20,5%,2
momiji_stakes,monies,200,100%,1
momiji_stakes,support_points,20,5%,2
platanus_sho,monies,200,100%,1
platanus_sho,support_points,20,5%,2
rindo_sho,monies,200,100%,1
rindo_sho,support_points,20,5%,2
saudi_arabia_royal_cup,mile_racing_shoes,1,100%,1
saudi_arabia_royal_cup,carats,5,5%,2
saudi_arabia_royal_cup,monies,400-2400,100%,3
saudi_arabia_royal_cup,support_points,20-120,84%,4
saudi_arabia_royal_cup,goddess_statue,1,1%,5
shigiku_sho,monies,200,100%,1
shigiku_sho,support_points,20,5%,2
artemis_stakes,mile_racing_shoes,1,100%,1
artemis_stakes,carats,5,5%,2
artemis_stakes,monies,400-2400,100%,3
artemis_stakes,support_points,20-120,84%,4
artemis_stakes,goddess_statue,1,1%,5
hagi_stakes,monies,200,100%,1
hagi_stakes,support_points,20,5%,2
ivy_stakes,monies,200,100%,1
ivy_stakes,support_points,20,5%,2
nadeshiko_sho,monies,200,100%,1
nadeshiko_sho,support_points,20,5%,2
daily_hai_junior_stakes,mile_racing_shoes,1,100%,1
daily_hai_junior_stakes,carats,5,5%,2
daily_hai_junior_stakes,monies,400-2400,100%,3
daily_hai_junior_stakes,support_points,20-120,84%,4
daily_hai_junior_stakes,goddess_statue,1,1%,5
fantasy_stakes,sprint_racing_shoes,1,100%,1
fantasy_stakes,carats,5,5%,2
fantasy_stakes,monies,400-2400,100%,3
fantasy_stakes,support_points,20-120,84%,4
fantasy_stakes,goddess_statue,1,1%,5
fukushima_junior_stakes,monies,200,100%,1
fukushima_junior_stakes,support_points,20,5%,2
hyakunichiso_tokubetsu,monies,200,100%,1
hyakunichiso_tokubetsu,support_points,20,5%,2
keio_hai_junior_stakes,sprint_racing_shoes,1,100%,1
keio_hai_junior_stakes,carats,5,5%,2
keio_hai_junior_stakes,monies,400-2400,100%,3
keio_hai_junior_stakes,support_points,20-120,84%,4
keio_hai_junior_stakes,goddess_statue,1,1%,5
kigiku_sho,monies,200,100%,1
kigiku_sho,support_points,20,5%,2
kimmokusei_tokubetsu,monies,200,100%,1
kimmokusei_tokubetsu,support_points,20,5%,2
oxalis_sho,monies,200,100%,1
oxalis_sho,support_points,20,5%,2
akamatsu_sho,monies,200,100%,1
akamatsu_sho,support_points,20,5%,2
begonia_sho,monies,200,100%,1
begonia_sho,support_points,20,5%,2
cattleya_sho,monies,200,100%,1
cattleya_sho,support_points,20,5%,2
habotan_sho,monies,200,100%,1
habotan_sho,support_points,20,5%,2
koyamaki_sho,monies,200,100%,1
koyamaki_sho,support_points,20,5%,2
kyoto_junior_stakes,medium_racing_shoes,1,100%,1
kyoto_junior_stakes,carats,5,5%,2
kyoto_junior_stakes,monies,400-2400,100%,3
kyoto_junior_stakes,support_points,20-120,84%,4
kyoto_junior_stakes,goddess_statue,1,1%,5
mochinoki_sho,monies,200,100%,1
mochinoki_sho,support_points,20,5%,2
shiragiku_sho,monies,200,100%,1
