id,name,requirement,image,sort_order
rookie_trainer,Rookie Trainer,Default,rookie_trainer.png,1
trusted_trainer,Trusted Trainer,Reach Team Rank D,trusted_trainer.png,2
veteran_trainer,Veteran Trainer,Reach Team Rank B,veteran_trainer.png,3
top_trainer,Top Trainer,Reach Team Rank A,top_trainer.png,4
superstar_trainer,Superstar Trainer,Reach Team Rank S,superstar_trainer.png,5
legendary_trainer,Legendary Trainer,Reach Team Rank SS,legendary_trainer.png,6
1000_lap_dash,1000 Lap Dash,"Clear 1,000 Career goals",1000_lap_dash.png,7
good_condition,Good Condition,Acquire positive conditions 100 times in Career,good_condition.png,8
ura_finale_champion,URA Finale Champion,Win the URA Finale in a Career playthrough,ura_finale_champion.png,9
master_of_the_big_eight,Master of the Big Eight,Win all of the Big Eight races in Career,master_of_the_big_eight.png,10
claw_connoisseur,Claw Connoisseur,Obtain 10 or more plushies from one claw machine session,claw_connoisseur.png,11
mini_maniac,Mini Maniac,Obtain 300 plushies from the claw machine,mini_maniac.png,12
producer_to_the_stars,Producer to the Stars,"Complete a Career playthrough with at least 1,000,000 fans",producer_to_the_stars.png,13
conquered_the_sprint,Conquered the Sprint,Place top 2 in a graded sprint race in Career with an Umamusume whose sprint aptitude is E or lower,conquered_the_sprint.png,14
conquered_the_mile,Conquered the Mile,Place top 2 in a graded mile race in Career with an Umamusume whose mile aptitude is E or lower,conquered_the_mile.png,15
conquered_the_medium,Conquered the Medium,Place top 2 in a graded medium race in Career with an Umamusume whose medium aptitude is E or lower,conquered_the_medium.png,16
conquered_the_long,Conquered the Long,Place top 2 in a graded long race in Career with an Umamusume whose long aptitude is E or lower,conquered_the_long.png,17
conquered_the_dirt,Conquered the Dirt,Place top 2 in a graded dirt race in Career with an Umamusume whose dirt aptitude is E or lower,conquered_the_dirt.png,18
jack_of_all_trades,Jack of All Trades,"Complete a Career playthrough with an S in track, distance, and style aptitudes",jack_of_all_trades.png,19
eclipse,Eclipse,Win the URA Finale in Career with a margin of DST in the finals,eclipse.png,20
wanna_go_for_a_walk,Wanna Go for a Walk?,Enjoy recreation along the riverbank 30 times in Career,wanna_go_for_a_walk.png,21
steamy_memories,Steamy Memories,Experience a moment where you feel an irreplaceable bond,steamy_memories.png,22
hot_springs_legend,Hot Springs Legend,Experience moments where you feel an irreplaceable bond with 18 Umamusume,hot_springs_legend.png,23
skilled,Skilled,Achieve Career rank S or higher 10 times,skilled.png,24
experienced,Experienced,Achieve Career rank S or higher 50 times,experienced.png,25
expert,Expert,Achieve Career rank S or higher 200 times,expert.png,26
master,Master,Achieve Career rank S or higher 500 times,master.png,27
a_new_hope,A New Hope,Win 100 G1 races,a_new_hope.png,28
veteran_soldier,Veteran Soldier,Win 500 G1 races,veteran_soldier.png,29
legend_in_the_making,Legend in the Making,"Win 1,000 G1 races",legend_in_the_making.png,30
the_greatest_of_all_time,The Greatest of All Time,"Win 2,000 G1 races",the_greatest_of_all_time.png,31
g3_giant,G3 Giant,Collect all G3 trophies,g3_giant.png,32
g2_giant,G2 Giant,Collect all G2 trophies,g2_giant.png,33
g1_giant,G1 Giant,Collect all G1 trophies,g1_giant.png,34
sapporo_superstar,Sapporo Superstar,Win 200 races at Sapporo Racecourse in Career,sapporo_superstar.png,35
hakodate_hero,Hakodate Hero,Win 200 races at Hakodate Racecourse in Career,hakodate_hero.png,36
niigata_knight,Niigata Knight,Win 200 races at Niigata Racecourse in Career,niigata_knight.png,37
fukushima_fighter,Fukushima Fighter,Win 200 races at Fukushima Racecourse in Career,fukushima_fighter.png,38
nakayama_knockout,Nakayama Knockout,Win 200 races at Nakayama Racecourse in Career,nakayama_knockout.png,39
