id,slug,name,image,grade_badge_image,trophy_image,course_image,racetrack,direction,participants,grade,grade_display,terrain,distance_type,distance_m,season,time_of_day,career_class,schedule_month,schedule_half,fans_required,first_place_fans,core_distance
1,junior_make_debut,Junior Make Debut,junior_make_debut.png,race.png,,,Varies,,,,,Varies,Varies,,,,Junior Class,June,Second Half,,,
2,junior_maiden_race,Junior Maiden Race,junior_maiden_race.png,race.png,,,Varies,,,,,Varies,Varies,,,,Junior Class,July,First Half,,,
3,chukyo_junior_stakes,Chukyo Junior Stakes,chukyo_junior_stakes.png,op.png,,chukyo_1600_turf_left.png,Chukyo,Left,16,OP,OP,Turf,Mile,1600,Summer,Daytime,Junior Class,July,Second Half,350,1600,core_distance
4,hakodate_junior_stakes,Hakodate Junior Stakes,hakodate_junior_stakes.png,giii.png,g3_trophy.png,hakodate_1200_turf_right.png,Hakodate,Right,16,GIII,G3,Turf,Short,1200,Summer,Daytime,Junior Class,July,Second Half,350,3100,core_distance
5,cosmos_sho,Cosmos Sho,cosmos_sho.png,op.png,,sapporo_1800_turf_right.png,Sapporo,Right,14,OP,OP,Turf,Mile,1800,Summer,Daytime,Junior Class,August,First Half,350,1600,non_core_distance
6,dahlia_sho,Dahlia Sho,dahlia_sho.png,op.png,,niigata_1400_turf_left.png,Niigata,Left,18,OP,OP,Turf,Short,1400,Summer,Daytime,Junior Class,August,First Half,350,1600,non_core_distance
7,phoenix_sho,Phoenix Sho,phoenix_sho.png,op.png,,kokura_1200_turf_right.png,Kokura,Right,18,OP,OP,Turf,Short,1200,Summer,Daytime,Junior Class,August,First Half,350,1600,core_distance
8,clover_sho,Clover Sho,clover_sho.png,op.png,,sapporo_1500_turf_right.png,Sapporo,Right,14,OP,OP,Turf,Mile,1500,Summer,Daytime,Junior Class,August,Second Half,350,1600,non_core_distance
9,niigata_junior_stakes,Niigata Junior Stakes,niigata_junior_stakes.png,giii.png,giii_trophy.png,niigata_1600_turf_left.png,Niigata,Left,18,GIII,G3,Turf,Mile,1600,Summer,Daytime,Junior Class,August,Second Half,350,3100,core_distance
10,aster_sho,Aster Sho,aster_sho.png,pre_op.png,,nakayama_1600_turf_right.png,Nakayama,Right,16,Pre-OP,Pre-OP,Turf,Mile,1600,Summer,Daytime,Junior Class,September,First Half,350,1000,core_distance
11,kokura_junior_stakes,Kokura Junior Stakes,kokura_junior_stakes.png,giii.png,kokura_cup.png,kokura_1200_turf_right.png,Kokura,Right,18,GIII,G3,Turf,Short,1200,Summer,Daytime,Junior Class,September,First Half,350,3100,core_distance
12,nojigiku_stakes,Nojigiku Stakes,nojigiku_stakes.png,op.png,,hanshin_1800_turf_right.png,Hanshin,Right,18,OP,OP,Turf,Mile,1800,Summer,Daytime,Junior Class,September,First Half,350,1600,non_core_distance
13,sapporo_junior_stakes,Sapporo Junior Stakes,sapporo_junior_stakes.png,giii.png,sapporo_cup.png,sapporo_1800_turf_right.png,Sapporo,Right,14,GIII,G3,Turf,Mile,1800,Summer,Daytime,Junior Class,September,First Half,350,3100,non_core_distance
14,suzuran_sho,Suzuran Sho,suzuran_sho.png,op.png,,sapporo_1200_turf_right.png,Sapporo,Right,16,OP,OP,Turf,Short,1200,Summer,Daytime,Junior Class,September,First Half,350,1600,core_distance
15,canna_stakes,Canna Stakes,canna_stakes.png,op.png,,nakayama_1200_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Short,1200,Autumn,Daytime,Junior Class,September,Second Half,350,1600,core_distance
16,fuyo_stakes,Fuyo Stakes,fuyo_stakes.png,op.png,,nakayama_2000_turf_right.png,Nakayama,Right,18,OP,OP,Turf,Medium,2000,Autumn,Daytime,Junior Class,September,Second Half,350,1600,core_distance
17,kikyo_stakes,Kikyo Stakes,kikyo_stakes.png,op.png,,hanshin_1400_turf_right.png,Hanshin,Right,18,OP,OP,Turf,Short,1400,Autumn,Daytime,Junior Class,September,Second Half,350,1600,non_core_distance
18,saffron_sho,Saffron Sho,saffron_sho.png,pre_op.png,,nakayama_1600_turf_right.png,Nakayama,Right,16,Pre-OP,Pre-OP,Turf,Mile,1600,Autumn,Daytime,Junior Class,September,Second Half,350,1000,core_distance
19,momiji_stakes,Momiji Stakes,momiji_stakes.png,op.png,,kyoto_1400_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Short,1400,Autumn,Daytime,Junior Class,October,First Half,350,1600,non_core_distance
20,platanus_sho,Platanus Sho,platanus_sho.png,pre_op.png,,tokyo_1600_dirt_left.png,Tokyo,Left,16,Pre-OP,Pre-OP,Dirt,Mile,1600,Autumn,Daytime,Junior Class,October,First Half,350,1000,core_distance
21,rindo_sho,Rindo Sho,rindo_sho.png,pre_op.png,,kyoto_1400_turf_right.png,Kyoto,Right,18,Pre-OP,Pre-OP,Turf,Short,1400,Autumn,Daytime,Junior Class,October,First Half,350,1000,non_core_distance
22,saudi_arabia_royal_cup,Saudi Arabia Royal Cup,saudi_arabia_royal_cup.png,giii.png,siuu.png,tokyo_1600_turf_left.png,Tokyo,Left,18,GIII,G3,Turf,Mile,1600,Autumn,Daytime,Junior Class,October,First Half,350,3300,core_distance
23,shigiku_sho,Shigiku Sho,shigiku_sho.png,pre_op.png,,kyoto_2000_turf_right.png,Kyoto,Right,18,Pre-OP,Pre-OP,Turf,Medium,2000,Autumn,Daytime,Junior Class,October,First Half,350,1000,core_distance
24,artemis_stakes,Artemis Stakes,artemis_stakes.png,giii.png,siuu.png,tokyo_1600_turf_left.png,Tokyo,Left,18,GIII,G3,Turf,Mile,1600,Autumn,Daytime,Junior Class,October,Second Half,350,2900,core_distance
25,hagi_stakes,Hagi Stakes,hagi_stakes.png,op.png,,kyoto_1800_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Mile,1800,Autumn,Daytime,Junior Class,October,Second Half,350,1700,non_core_distance
26,ivy_stakes,Ivy Stakes,ivy_stakes.png,op.png,,tokyo_1800_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Mile,1800,Autumn,Daytime,Junior Class,October,Second Half,350,1700,non_core_distance
27,nadeshiko_sho,Nadeshiko Sho,nadeshiko_sho.png,pre_op.png,,kyoto_1400_dirt_right.png,Kyoto,Right,16,Pre-OP,Pre-OP,Dirt,Short,1400,Autumn,Daytime,Junior Class,October,Second Half,350,1000,non_core_distance
28,daily_hai_junior_stakes,Daily Hai Junior Stakes,daily_hai_junior_stakes.png,gii.png,gii_trophy.png,kyoto_1600_turf_right.png,Kyoto,Right,18,GII,G2,Turf,Mile,1600,Autumn,Daytime,Junior Class,November,First Half,375,3800,core_distance
29,fantasy_stakes,Fantasy Stakes,fantasy_stakes.png,giii.png,gii_trophy.png,kyoto_1400_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Short,1400,Autumn,Daytime,Junior Class,November,First Half,350,2900,non_core_distance
30,fukushima_junior_stakes,Fukushima Junior Stakes,fukushima_junior_stakes.png,op.png,,fukushima_1200_turf_right.png,Fukushima,Right,14,OP,OP,Turf,Short,1200,Autumn,Daytime,Junior Class,November,First Half,350,1600,core_distance
31,hyakunichiso_tokubetsu,Hyakunichiso Tokubetsu,hyakunichiso_tokubetsu.png,pre_op.png,,tokyo_2000_turf_left.png,Tokyo,Left,18,Pre-OP,Pre-OP,Turf,Medium,2000,Autumn,Daytime,Junior Class,November,First Half,350,1000,core_distance
